iteration,total_runs,obs_realization,par_realization,obgnme
0,1000,321,321,7102.37
0,1000,322,322,7467.48
0,1000,323,323,6930.32
0,1000,324,324,7428.6
0,1000,325,325,6352.24
0,1000,326,326,6914
0,1000,327,327,7710.32
0,1000,328,328,4500.43
0,1000,329,329,7699.01
0,1000,330,330,7369.92
0,1000,331,331,6774.86
0,1000,332,332,7516.26
0,1000,333,333,7653.22
0,1000,334,334,7586.26
0,1000,335,335,7571.93
0,1000,336,336,6013.69
0,1000,337,337,6530.68
0,1000,338,338,7619.53
0,1000,339,339,6421.87
0,1000,340,340,7413.65
0,1000,341,341,7253.19
0,1000,342,342,7694.63
0,1000,343,343,7620.68
0,1000,344,344,6233.09
0,1000,345,345,7594.72
0,1000,346,346,7560.76
0,1000,347,347,6874.39
0,1000,348,348,7458.25
0,1000,349,349,6921.96
0,1000,350,350,7609.83
0,1000,351,351,7547.63
0,1000,352,352,7319.81
0,1000,353,353,4645.66
0,1000,354,354,7078.59
0,1000,355,355,7667.07
0,1000,356,356,7136.25
0,1000,357,357,7499.62
0,1000,358,358,7638.2
0,1000,359,359,7537.08
0,1000,360,360,7723.1
0,1000,361,361,7706.85
0,1000,362,362,6990.89
0,1000,363,363,7178.15
0,1000,364,364,6883.71
0,1000,365,365,7714.82
0,1000,366,366,7263.29
0,1000,367,367,7315.98
0,1000,368,368,7550.51
0,1000,369,369,7550.23
0,1000,370,370,7723.1
0,1000,371,371,7610.08
0,1000,372,372,7718.99
0,1000,373,373,7118.33
0,1000,374,374,6890.58
0,1000,375,375,7594.84
0,1000,376,376,7192.93
0,1000,377,377,7261.37
0,1000,378,378,4500.43
0,1000,379,379,6773.61
0,1000,380,380,7088.79
0,1000,381,381,7628.67
0,1000,382,382,7286.47
0,1000,383,383,7723.1
0,1000,384,384,7171.26
0,1000,385,385,7113.73
0,1000,386,386,7424.36
0,1000,387,387,6776.99
0,1000,388,388,7349.94
0,1000,389,389,6894.34
0,1000,390,390,6640.89
0,1000,391,391,6863.15
0,1000,392,392,6430.37
0,1000,393,393,7353.64
0,1000,394,394,7668.47
0,1000,395,395,7585.57
0,1000,396,396,7590.33
0,1000,397,397,7187.29
0,1000,398,398,7059.16
0,1000,399,399,7340.59
0,1000,400,400,7396.87
0,1000,401,401,7403.78
0,1000,402,402,7719.84
0,1000,403,403,7339.97
0,1000,404,404,7705.62
0,1000,405,405,7245.62
0,1000,406,406,7621.08
0,1000,407,407,7365.86
0,1000,408,408,7581.33
0,1000,409,409,5857.6
0,1000,410,410,7630.36
0,1000,411,411,7375.76
0,1000,412,412,7242.35
0,1000,413,413,7192.86
0,1000,414,414,7570.93
0,1000,415,415,7614.89
0,1000,416,416,7631
0,1000,417,417,6129.4
0,1000,418,418,5507.93
0,1000,419,419,7667.99
0,1000,420,420,7694.04
0,1000,421,421,7579.03
0,1000,422,422,7113.13
0,1000,423,423,7723.1
0,1000,424,424,7590.11
0,1000,425,425,7207.73
0,1000,426,426,6587.66
0,1000,427,427,5994.79
0,1000,428,428,7382.32
0,1000,429,429,5261.41
0,1000,430,430,7350.56
0,1000,431,431,7411.57
0,1000,432,432,5610.61
0,1000,433,433,7635.24
0,1000,434,434,6501.39
0,1000,435,435,7625.56
0,1000,436,436,4500.43
0,1000,437,437,7697.42
0,1000,438,438,4500.43
0,1000,439,439,7316.16
0,1000,440,440,7379.19
0,1000,441,441,7473.67
0,1000,442,442,7283.7
0,1000,443,443,7443.47
0,1000,444,444,7642.97
0,1000,445,445,5454.89
0,1000,446,446,7591.61
0,1000,447,447,7652.26
0,1000,448,448,7526.77
0,1000,449,449,7688.67
0,1000,450,450,7654.79
0,1000,451,451,7227.71
0,1000,452,452,7708.36
0,1000,453,453,7389.13
0,1000,454,454,6768.21
0,1000,455,455,7393.78
0,1000,456,456,7649.01
0,1000,457,457,7718.67
0,1000,458,458,7110.11
0,1000,459,459,7019.97
0,1000,460,460,6614.11
0,1000,461,461,7092.68
0,1000,462,462,7479.91
0,1000,463,463,4500.43
0,1000,464,464,6643.73
0,1000,465,465,7098.61
0,1000,466,466,6937.59
0,1000,467,467,7678.03
0,1000,468,468,7010.12
0,1000,469,469,6238.11
0,1000,470,470,6915.58
0,1000,471,471,6955.85
0,1000,472,472,7667.76
0,1000,473,473,6574.71
0,1000,474,474,7723.1
0,1000,475,475,7505.72
0,1000,476,476,7410.3
0,1000,477,477,5826.37
0,1000,478,478,5509.88
0,1000,479,479,7566.7
0,1000,480,480,7698.17
0,1000,481,481,7613.42
0,1000,482,482,6875.62
0,1000,483,483,7235.53
0,1000,484,484,7642.23
0,1000,485,485,7422.37
0,1000,486,486,6839.03
0,1000,487,487,6276.87
0,1000,488,488,7583.23
0,1000,489,489,6966.32
0,1000,490,490,6239.68
0,1000,491,491,7533.48
0,1000,492,492,7606.41
0,1000,493,493,7552.72
0,1000,494,494,7067.91
0,1000,495,495,4500.43
0,1000,496,496,7651.49
0,1000,497,497,7462.62
0,1000,498,498,7636.2
0,1000,499,499,5036.1
0,1000,500,500,6912.91
0,1000,501,501,7584.79
0,1000,502,502,7648.88
0,1000,503,503,4584.52
0,1000,504,504,6321.85
0,1000,505,505,7522.89
0,1000,506,506,7211.37
0,1000,507,507,4979.56
0,1000,508,508,7657.38
0,1000,509,509,7563.33
0,1000,510,510,6712.44
0,1000,511,511,6359.13
0,1000,512,512,6977.86
0,1000,513,513,7723.1
0,1000,514,514,7672.71
0,1000,515,515,7497.85
0,1000,516,516,7599.51
0,1000,517,517,5354.2
0,1000,518,518,7703.78
0,1000,519,519,7407.84
0,1000,520,520,7520.58
0,1000,521,521,4500.43
0,1000,522,522,7653.25
0,1000,523,523,7622.2
0,1000,524,524,7381.09
0,1000,525,525,6108.12
0,1000,526,526,7203.61
0,1000,527,527,6097.22
0,1000,528,528,7243.67
0,1000,529,529,6787.31
0,1000,530,530,7116.93
0,1000,531,531,7545.13
0,1000,532,532,7158.21
0,1000,533,533,7678.5
0,1000,534,534,7466.57
0,1000,535,535,7179.64
0,1000,536,536,7528.29
0,1000,537,537,7197.28
0,1000,538,538,7248.01
0,1000,539,539,4500.43
0,1000,540,540,7656.54
0,1000,541,541,7347.6
0,1000,542,542,7282.54
0,1000,543,543,7116.22
0,1000,544,544,7694.75
0,1000,545,545,7365.43
0,1000,546,546,5940
0,1000,547,547,5548.09
0,1000,548,548,5549.92
0,1000,549,549,7589.11
0,1000,550,550,7000.59
0,1000,551,551,4556.54
0,1000,552,552,7515.48
0,1000,553,553,6670.45
0,1000,554,554,7389.29
0,1000,555,555,7296.51
0,1000,556,556,6922.46
0,1000,557,557,6826.95
0,1000,558,558,7083.11
0,1000,559,559,7681.47
0,1000,560,560,7357
0,1000,561,561,7084.49
