real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
38,0.037406,0.047716,0.068276,0.070311,0.064538,0.061094,0.102133,0.042066,0.086228,0.062888,0.097459,0.106082,0.106927,0.053849,0.101825,0.086807,0.107029,0.061101,0.12649,0.079509,0.131242,0.113133,0.111775,0.152932
39,0.038669,0.049327,0.070581,0.072686,0.066717,0.063157,0.105582,0.043486,0.089139,0.065012,0.10075,0.109664,0.110537,0.055667,0.105264,0.089738,0.110643,0.063165,0.130762,0.082194,0.135674,0.116953,0.115549,0.158096
40,0.417822,0.532987,0.762639,0.785375,0.720887,0.68242,1.14083,0.469874,0.963161,0.702462,1.08861,1.18494,1.19437,0.601489,1.13738,0.969628,1.19551,0.682501,1.4129,0.888113,1.46597,1.26369,1.24852,1.70825
41,0.164608,0.209979,0.300454,0.309411,0.284005,0.268851,0.449448,0.185115,0.379453,0.276746,0.428877,0.466825,0.470541,0.236966,0.448091,0.382001,0.470992,0.268883,0.556633,0.349887,0.577544,0.497852,0.491876,0.672992
42,0.736888,0.939997,1.34502,1.38512,1.27138,1.20354,2.01201,0.828689,1.69867,1.23889,1.91992,2.0898,2.10643,1.06081,2.00593,1.71008,2.10845,1.20369,2.49184,1.56631,2.58545,2.2287,2.20195,3.01273
43,0.041576,0.053036,0.075888,0.07815,0.071733,0.067906,0.11352,0.046756,0.095841,0.0699,0.108325,0.117909,0.118848,0.059852,0.113178,0.096485,0.118962,0.067914,0.140593,0.088373,0.145875,0.125746,0.124237,0.169983
44,0.135628,0.173011,0.247557,0.254937,0.234004,0.221518,0.37032,0.152524,0.312648,0.228023,0.35337,0.384637,0.387699,0.195247,0.369201,0.314747,0.38807,0.221544,0.458634,0.288287,0.475864,0.410201,0.405278,0.554508
45,0.022605,0.028836,0.04126,0.042491,0.039002,0.03692,0.061721,0.025421,0.052109,0.038005,0.058896,0.064108,0.064618,0.032542,0.061535,0.052459,0.06468,0.036925,0.076441,0.048049,0.079312,0.068368,0.067548,0.09242
46,0.041302,0.052686,0.075387,0.077634,0.071259,0.067457,0.112771,0.046447,0.095208,0.069438,0.107609,0.11713,0.118063,0.059457,0.11243,0.095847,0.118176,0.067465,0.139664,0.08779,0.144911,0.124915,0.123416,0.16886
47,0.145169,0.185182,0.264973,0.272873,0.250467,0.237102,0.396373,0.163254,0.334644,0.244065,0.378231,0.411697,0.414975,0.208983,0.395176,0.33689,0.415372,0.23713,0.4909,0.308569,0.509342,0.43906,0.433791,0.593519
