real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
27,9.83166,3.59556,3.19705,4.60994,9.10325,13.3677,5.32453,20.9103,14.9028,24.6437,29.0412,18.7893,7.2526,19.7246,31.3899,20.2247,28.618,9.16773,33.5279,7.53045,13.8791,26.7281,7.58815,3.52698
28,7.2573,4.19927,5.61766,5.24823,10.0728,13.6348,4.45361,19.9111,13.8547,24.1536,29.0685,20.9831,8.47378,20.6822,29.9921,22.6468,29.9654,8.671,33.3626,8.91305,15.9271,23.2724,6.67309,5.48103
29,8.14791,5.24403,2.70536,4.22216,11.678,16.2872,3.85232,19.6726,13.6753,25.4087,28.3508,20.5294,8.41897,19.7372,31.261,21.9208,29.6457,8.2843,34.5366,10.04,16.4812,25.1853,6.82606,3.73784
30,6.06233,3.16109,3.30637,4.14687,9.3365,15.6875,4.92135,18.8308,15.7935,25.4733,26.5889,21.0215,6.97253,19.3699,30.6277,22.7223,28.9287,10.0633,33.2797,7.58817,14.5124,25.2189,6.08923,3.62093
31,6.77743,4.55005,5.01578,4.91923,10.3018,13.6084,2.89474,18.9544,11.5096,24.2236,27.599,19.5172,9.33354,19.1079,30.0102,23.0408,30.7817,7.51468,32.3703,8.7201,13.9752,23.9865,4.88264,2.25158
32,7.28125,5.10347,4.489,5.25034,10.4132,16.7561,3.79373,18.5542,13.1498,25.3419,28.3758,19.8037,7.37156,21.7814,29.4745,20.1488,27.4708,7.63219,35.2087,8.23062,13.8054,23.7851,4.89186,4.83572
33,6.18416,5.0395,3.56681,5.67754,9.30432,15.7732,3.72981,18.7833,14.2803,25.1756,28.5294,19.9615,6.50629,17.0759,29.0326,20.5003,30.4274,9.98426,34.7422,7.52187,12.3352,24.5835,6.32855,3.13694
34,8.81675,2.64829,3.80132,4.77903,11.8129,15.1956,2.92721,20.1821,13.9897,25.9091,27.7537,20.3773,8.04402,19.8663,29.6476,21.3223,28.7189,8.33504,33.8304,8.08993,15.5072,26.513,5.52643,4.83627
35,6.78374,5.13308,5.04991,4.52097,10.4581,17.1541,4.44726,20.4229,13.9299,25.5416,27.6137,18.8663,8.57324,21.3072,29.9435,21.8306,29.8521,9.60908,33.0514,7.9216,13.0453,24.5674,5.95514,5.19154
36,7.15554,5.31423,2.76375,4.00608,8.53796,15.1183,0.863409,20.3078,13.4173,23.8371,27.4014,18.8979,8.15155,21.5571,29.0632,22.0793,29.3519,7.93411,33.0485,8.52161,14.0419,25.109,6.7362,4.80375
37,8.07153,6.33801,5.41188,3.29266,9.44949,15.8463,3.84613,21.2498,13.8587,26.2135,25.4694,21.2166,8.79777,19.7755,28.2089,20.8184,30.5499,9.18985,32.6837,9.99856,13.3407,24.8729,5.18366,6.20708
38,7.8988,5.56369,4.22251,4.10277,8.64474,14.847,3.70746,21.2498,14.1637,24.2492,28.5845,18.3618,8.64676,20.9592,29.9681,22.8765,28.4978,8.49059,32.796,7.45124,14.8105,25.391,5.24143,3.07388
39,6.73851,4.49862,3.70247,3.87231,9.15916,15.5942,5.17087,20.0028,13.3956,24.9151,27.6703,20.4753,9.63064,22.4006,30.0636,20.7477,29.9043,9.03169,35.8683,6.89103,14.4145,25.054,7.42831,5.2091
