real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
28,0.117299,0.019139,5.97906,9.43148,16.3733,17.7221,11.2334,27.3426,8.25918,27.3732,1.87158,14.8029,6.06763,18.0839,20.6707,0.02849,25.7097,14.6293,2.51633,15.2873,7.76032,12.6924,2.25498,16.1997,3.61,11.1714,3.93959,3.75693,5.66494,0.186795
29,0.01343,0.028561,0.433245,0.807377,0.540795,0.762921,4.7245,3.12027,6.06434,1.83371,6.69634,9.87808,9.45522,11.0994,11.8401,1.98789,11.4876,0.563785,11.3056,14.7442,16.9921,18.2404,15.2973,19.6622,19.4623,22.3808,21.7853,21.701,2.43195,12.2847
30,0.027283,0.058768,0.564552,0.964463,0.581609,0.809461,5.05121,2.97865,6.57532,1.72639,8.06465,9.76217,10.1509,10.6513,11.1439,3.2388,10.5465,0.521134,12.649,14.0693,16.8695,17.3048,16.5463,18.0721,19.7649,20.547,20.5048,20.47,1.99953,13.7005
31,0.035234,0.058669,0.752753,1.25672,0.850087,1.1409,5.68464,3.74283,7.13888,2.32691,8.11523,10.6206,10.5801,11.6453,12.2397,2.90201,11.7738,0.817893,12.6408,15.0423,17.4373,18.2552,16.4231,19.3164,19.969,21.8211,21.4985,21.4395,2.77712,13.6234
32,0.007232,0.015216,0.312836,0.615136,0.395181,0.577339,4.43047,2.80711,5.88725,1.54821,6.57734,10.4683,9.82845,12.0886,13.1232,1.67254,12.7672,0.41464,12.0477,16.9805,19.9044,22.028,17.2388,24.5155,23.3094,28.89,27.5644,27.402,2.18617,13.2678
33,0.470788,0.101568,9.7915,13.4522,19.6545,20.8511,13.888,27.5134,10.6969,27.2466,3.30256,15.9335,7.9698,18.332,20.1488,0.135478,23.9138,15.0953,3.85577,15.3594,8.69701,12.629,3.29947,14.9213,4.47347,10.3257,4.13235,3.97565,5.34578,0.388156
34,0.00329,0.017128,0.217424,0.437632,0.220047,0.336475,2.84095,1.52096,3.67024,0.794519,4.52029,4.8952,5.25281,5.13476,5.23986,1.83904,4.94977,0.166781,6.22457,6.15399,6.93513,6.83772,7.15504,6.8321,7.49529,7.16906,7.2698,7.27498,0.821361,6.50115
35,0.021412,0.041068,0.514214,0.902558,0.552096,0.775885,5.15562,3.07448,6.77979,1.74652,8.11373,10.7612,10.8366,12.0044,12.7436,2.80596,12.1481,0.511535,13.5415,16.4091,19.7108,20.8464,18.492,22.4141,23.3463,26.1614,25.6188,25.5264,2.13236,14.8312
36,0.005864,0.015636,0.205364,0.401569,0.205272,0.315395,3.47197,1.75346,4.91714,0.859046,6.48482,8.40044,8.74564,9.51225,10.1712,2.22369,9.53342,0.180557,11.6985,13.8581,17.4879,18.3848,16.7678,19.7901,21.5357,23.6251,23.2525,23.1747,1.09401,12.9904
37,0.957439,0.23573,9.42886,12.2656,16.8861,17.8426,11.5612,22.2274,8.78552,21.8467,2.62891,12.5635,6.30179,14.2642,15.5311,0.11185,18.2901,11.5922,2.92327,11.6886,6.50302,9.38898,2.39509,10.9168,3.20048,7.34122,2.81177,2.70082,3.61091,0.227876
