iteration,total_runs,obs_realization,par_realization,obgnme
0,95875,501,501,8782.35
0,95875,502,502,8097.2
0,95875,503,503,5789.49
0,95875,504,504,8798.8
0,95875,505,505,1910.3
0,95875,506,506,8812.26
0,95875,507,507,5569.1
0,95875,508,508,2562.25
0,95875,509,509,8650.96
0,95875,510,510,7583.75
0,95875,511,511,18259.2
0,95875,512,512,2031
0,95875,513,513,8498.55
0,95875,514,514,8823.93
0,95875,515,515,8831.98
0,95875,516,516,8804.31
0,95875,517,517,8580.17
0,95875,518,518,8760.25
0,95875,519,519,34090.8
0,95875,520,520,1259.93
0,95875,521,521,8828.09
0,95875,522,522,8776.5
0,95875,523,523,7547.22
0,95875,524,524,8411.72
0,95875,525,525,4229.99
0,95875,526,526,8644.27
0,95875,527,527,2889.73
0,95875,528,528,8739.86
0,95875,529,529,8374.14
0,95875,530,530,3208.49
0,95875,532,532,3263.81
0,95875,533,533,93679.5
0,95875,534,534,8789.13
0,95875,535,535,5244.88
0,95875,536,536,8806.63
0,95875,537,537,8820.63
0,95875,538,538,2097.22
0,95875,539,539,1445.75
0,95875,540,540,5815.43
0,95875,541,541,5387.16
0,95875,542,542,22997.7
0,95875,543,543,8806.17
0,95875,544,544,3300.7
0,95875,545,545,4709.11
0,95875,546,546,8828.76
0,95875,547,547,8832
0,95875,548,548,3087.91
0,95875,549,549,5826.24
0,95875,550,550,8823.85
0,95875,551,551,8643.57
0,95875,552,552,15342.5
0,95875,553,553,39394.6
0,95875,554,554,8829.53
0,95875,555,555,10551.6
0,95875,556,556,8766.2
0,95875,557,557,8831.87
0,95875,558,558,8731.4
0,95875,559,559,7955.4
0,95875,560,560,6845.74
0,95875,561,561,8831.17
0,95875,562,562,8519.83
0,95875,564,564,8830.02
0,95875,565,565,4166.17
0,95875,566,566,8770.73
0,95875,567,567,8805.21
0,95875,568,568,8756.46
0,95875,569,569,8505.96
0,95875,570,570,5082.43
0,95875,571,571,9781.04
0,95875,572,572,2531.45
0,95875,573,573,2545.2
0,95875,574,574,8830.92
0,95875,575,575,4869.56
0,95875,576,576,8824.69
0,95875,577,577,9208.21
0,95875,578,578,7247.86
0,95875,579,579,4651.64
0,95875,580,580,1637.15
0,95875,581,581,6041.39
0,95875,582,582,5408.19
0,95875,583,583,7843.77
0,95875,584,584,9122.03
0,95875,585,585,8825.05
0,95875,586,586,3573.51
0,95875,587,587,8148.57
0,95875,588,588,8775.65
0,95875,589,589,6132.28
0,95875,590,590,4416.72
0,95875,591,591,8831.11
0,95875,592,592,8670.68
0,95875,593,593,8505.84
0,95875,594,594,6138.8
0,95875,595,595,8800.83
0,95875,596,596,52673.6
0,95875,597,597,8684.49
0,95875,598,598,3073.25
0,95875,599,599,8830.87
0,95875,600,600,8609.38
0,95875,601,601,8045.96
0,95875,602,602,2502.18
0,95875,603,603,2297.59
0,95875,604,604,1905.77
0,95875,605,605,3077.67
0,95875,606,606,8832
0,95875,607,607,6907.06
0,95875,608,608,8719.27
0,95875,609,609,3898.99
0,95875,610,610,1792.96
0,95875,611,611,8831.95
0,95875,612,612,8829.59
0,95875,613,613,7184.97
0,95875,614,614,8667.02
0,95875,615,615,8208.5
0,95875,616,616,8676.07
0,95875,617,617,5713.83
0,95875,618,618,8339.01
0,95875,619,619,2188.09
0,95875,620,620,5403.31
0,95875,621,621,7602.47
0,95875,622,622,8830.54
0,95875,623,623,3824.08
0,95875,624,624,8816.5
0,95875,625,625,25231.4
0,95875,626,626,8828.82
0,95875,627,627,8798.65
0,95875,628,628,8831.98
0,95875,629,629,17325.9
0,95875,630,630,8788
0,95875,631,631,7473.21
0,95875,632,632,5299.68
0,95875,633,633,8831.7
0,95875,634,634,8599.38
0,95875,635,635,3182.44
0,95875,636,636,8092.86
0,95875,637,637,3820.03
0,95875,638,638,8829.16
0,95875,639,639,8003.29
0,95875,640,640,8081.24
0,95875,641,641,3484.87
0,95875,642,642,6702.86
0,95875,643,643,8693.2
0,95875,644,644,5318.97
0,95875,645,645,4246.99
0,95875,646,646,1878.77
0,95875,647,647,3197.8
0,95875,648,648,8788.65
0,95875,649,649,8008.28
0,95875,650,650,4972.68
0,95875,651,651,8530.34
0,95875,652,652,7871.93
0,95875,653,653,8654.02
0,95875,654,654,2043.83
0,95875,655,655,8783.53
0,95875,656,656,39107.4
0,95875,657,657,8831.98
0,95875,658,658,8448.82
0,95875,659,659,9156.19
0,95875,660,660,8828.3
0,95875,661,661,9001.89
0,95875,662,662,9586
0,95875,663,663,1158.47
0,95875,664,664,8815.65
0,95875,665,665,7127.65
0,95875,666,666,6007.97
0,95875,667,667,7987.78
0,95875,668,668,8118.19
0,95875,669,669,8819.58
0,95875,670,670,8300.14
0,95875,671,671,8831.99
0,95875,672,672,2317.8
0,95875,673,673,4833.94
0,95875,674,674,2191.89
0,95875,675,675,8382.97
0,95875,676,676,17014.4
0,95875,677,677,8793.13
0,95875,678,678,8829.26
0,95875,679,679,4592.53
0,95875,680,680,8831.5
0,95875,681,681,7636.8
0,95875,682,682,8818.72
0,95875,683,683,8688.67
0,95875,684,684,8802.78
0,95875,685,685,7493.9
0,95875,686,686,3616.45
0,95875,687,687,8685.23
0,95875,688,688,8809.2
0,95875,689,689,7133.73
0,95875,690,690,7170.76
0,95875,691,691,8831.82
0,95875,692,692,8086.63
0,95875,693,693,6620
0,95875,694,694,8811.05
0,95875,695,695,4370.72
0,95875,696,696,7556.82
0,95875,697,697,13959.9
0,95875,698,698,3934.26
0,95875,699,699,8120.92
0,95875,700,700,8329.07
0,95875,701,701,2105.89
0,95875,702,702,5448.31
0,95875,703,703,4006.47
0,95875,704,704,8606.78
0,95875,705,705,8832
0,95875,706,706,8629.35
0,95875,707,707,8317.2
0,95875,708,708,8068.26
0,95875,709,709,5136.24
0,95875,710,710,13737.3
0,95875,711,711,15674.4
0,95875,712,712,6646.08
0,95875,713,713,8829.9
0,95875,714,714,8813.85
0,95875,715,715,6145.51
0,95875,716,716,3132.73
0,95875,717,717,8726.36
0,95875,718,718,2140.36
0,95875,719,719,2344.47
0,95875,720,720,1389.53
0,95875,721,721,4856.94
0,95875,722,722,8083.39
0,95875,723,723,8817.56
0,95875,724,724,8680.07
0,95875,725,725,7940.62
0,95875,726,726,6252.9
0,95875,727,727,8710.98
0,95875,728,728,8194.9
0,95875,729,729,8644.54
0,95875,730,730,5681.65
0,95875,731,731,8831.98
0,95875,732,732,8831.08
0,95875,733,733,8732.91
0,95875,734,734,51338
0,95875,735,735,3851.7
0,95875,736,736,13728.4
0,95875,737,737,8828.29
0,95875,738,738,1767.05
0,95875,739,739,8826.02
0,95875,740,740,8820.94
0,95875,741,741,8764.27
0,95875,742,742,1594.4
0,95875,743,743,4870.98
0,95875,744,744,8614.29
0,95875,745,745,4204.7
0,95875,746,746,8829.89
0,95875,747,747,8828.03
0,95875,748,748,8498.01
0,95875,749,749,8831.94
0,95875,750,750,2349.15
0,95875,751,751,2917.65
0,95875,752,752,8749.25
0,95875,753,753,7716.48
0,95875,754,754,9690.12
0,95875,755,755,5682.5
0,95875,756,756,8809.92
0,95875,757,757,6397.04
0,95875,758,758,7851.26
0,95875,759,759,8768.53
0,95875,760,760,9192.52
