real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
184,0,0.000116,0.000408,0.003646,0.000142,0.000774,3.23193,0.223781,8.56499,0.02317,31.931,13.2744,24.5317,13.4808,13.211,46.3273,10.0345,0.000119,45.2675,22.3379,36.6021,29.5703,52.3112,26.3147,48.8637,30.5525,35.0244,35.381,0.042615,48.7601
185,1.07549,20.0026,0.082584,0.103541,6e-06,0.000187,1.24794,0.045914,1.32476,0.000913,4.2275,1.21743,1.3767,1.0665,0.846637,6.01802,0.395046,0,1.47424,1.08521,1.20424,0.875236,1.23399,0.307896,0.763412,0.094103,0.025217,0.023542,0,1e-06
186,1e-06,0.00033,1.9e-05,7.1e-05,1e-06,4e-06,0.065411,0.000904,0.282838,4.2e-05,2.89357,0.49958,1.73041,0.504786,0.481523,11.3877,0.275773,0,6.71747,1.5299,4.90623,3.13011,11.3117,2.44625,10.1522,3.5183,4.0531,4.11829,1.4e-05,4.90271
187,0,4e-06,1.4e-05,0.000116,4e-06,1.9e-05,0.101072,0.003827,0.321788,0.000373,2.42154,0.447828,1.21046,0.438526,0.41752,11.4138,0.278567,3e-06,3.86741,0.900672,2.2584,1.45711,5.47262,1.19005,4.71984,1.67638,2.68219,2.75718,0.00088,6.87918
188,1.00838,0.480552,0.018163,0.008823,0.000132,0.000272,0.006409,0.000408,0.005815,5.2e-05,0.002471,0.001522,0.002099,0.0009,0.000608,6.8e-05,0.000396,0,0.000466,0.000394,0.000176,0.00012,5.9e-05,4.8e-05,1.6e-05,5e-06,0,0,0,0
189,12.3507,7.87799,46.1971,55.4542,50.1755,55.1692,70.2227,68.751,68.6674,61.1047,49.3601,73.4122,66.5534,73.6946,73.5307,7.28521,73.1267,35.0016,54.3892,72.092,66.9594,69.2706,51.3752,68.2864,55.7669,62.0729,47.5245,46.9527,26.1701,12.0079
190,0.124688,3.55519,0.011764,0.012039,4.6e-05,0.000173,0.468934,0.00415,1.24714,0.000181,6.6289,0.628614,2.52113,0.42812,0.312123,13.6402,0.151835,0,4.12113,0.616242,1.21691,0.586284,2.12195,0.269447,0.80439,0.121849,0.023422,0.022845,0,0.003063
191,0.001731,1.17359,0.001487,0.002776,2e-06,1.5e-05,0.438837,0.003048,1.15207,6e-05,5.79684,0.634928,2.35697,0.476533,0.377698,8.59569,0.207393,0,4.39993,0.665724,1.27391,0.693321,2.89747,0.410493,1.19903,0.263267,0.086777,0.085715,0,0.011367
192,6.2e-05,0.03315,1.2e-05,1.8e-05,0,0,0.00491,1.6e-05,0.019244,0,0.244006,0.01152,0.065391,0.008031,0.00589,2.30251,0.002535,0,0.196543,0.016622,0.05209,0.022357,0.156554,0.010528,0.068454,0.007957,0.0039,0.003929,0,0.002716
193,0.010753,0.382714,0.093352,0.246274,0.007033,0.025709,24.4002,1.63399,53.2939,0.15013,116.479,84.3918,127.552,88.1817,87.6888,44.9044,66.8569,0.000294,181.779,144.997,204.531,182.223,203.139,159.979,201.329,145.312,73.6923,72.0079,0.004697,7.05997
